BAR_CLUB,RESTAURANT,SERVICES,LEISURE_SPORTS,CULTURAL_SCHOOLS,PARKS_NATURE_RURAL,TRANSPORT_INFRASTRUCTURE,RESIDENTIAL
Café,Caribbean Restaurant,Fish & Chips Shop,Skating Rink,Historic Site,Park,Road,Playground
Food & Drink Shop,Fast Food Restaurant,Grocery Store,Tennis Court,Theater,Plaza,Bus Stop,Neighborhood
Coffee Shop,Pizza Place,Pharmacy,Hockey Arena,Performing Arts Venue,Garden,Train Station,Housing Development
Lounge,Chinese Restaurant,Supermarket,Athletics & Sports,Art Gallery,Field,Intersection,Recreation Center
Breakfast Spot,Portuguese Restaurant,Convenience Store,Golf Course,Dance Studio,Beach,Bus Line,Residential Building (Apartment / Condo)
Ice Cream Shop,Restaurant,Discount Store,Gym / Fitness Center,Museum,Scenic Lookout,Metro Station,Community Center
Pub,Mediterranean Restaurant,Laundry Service,Yoga Studio,Bookstore,Tree,Cable Car,
Dessert Shop,Mexican Restaurant,Shopping Mall,Pool,College Theater,Fountain,Bus Station,
Chocolate Shop,Italian Restaurant,Cosmetics Shop,Bowling Alley,Concert Hall,Lake,Bridge,
Bar,French Restaurant,Shop & Service,Gym,Music School,Ski Area,Gas Station,
Food Truck,Thai Restaurant,Sporting Goods Shop,Rock Climbing Spot,Art Museum,Ski Chalet,Light Rail Station,
Karaoke Bar,Greek Restaurant,Men's Store,Soccer Stadium,Movie Theater,Trail,Airport,
Gastropub,Middle Eastern Restaurant,Bakery,Curling Ice,Monument / Landmark,Dog Run,Harbor / Marina,
Deli / Bodega,Fried Chicken Joint,Spa,College Gym,Church,Aquarium,Airport Lounge,
Burger Joint,Vietnamese Restaurant,Farmers Market,Basketball Stadium,Photography Lab,General Travel,Tunnel,
Diner,Seafood Restaurant,Shoe Store,Skate Park,History Museum,Garden Center,,
Sandwich Place,Indian Restaurant,Event Space,Track,Music Venue,Farm,,
Bubble Tea Shop,Sushi Restaurant,Animal Shelter,Baseball Stadium,College Rec Center,River,,
Burrito Place,German Restaurant,Liquor Store,Soccer Field,Indie Movie Theater,Zoo,,
Nightclub,Korean Restaurant,Tech Startup,Climbing Gym,Record Shop,Cemetery,,
Creperie,Ramen Restaurant,Brewery,Stadium,University,Castle,,
Gay Bar,Persian Restaurant,Furniture / Home Store,Baseball Field,Exhibit,Other Great Outdoors,,
Piano Bar,Japanese Restaurant,Pet Store,College Stadium,Music Store,Sculpture Garden,,
BBQ Joint,General Entertainment,Electronics Store,Gym Pool,School,,,
Beer Bar,Ethiopian Restaurant,Accessories Store,Golf Driving Range,Opera House,,,
Taco Place,Vegetarian / Vegan Restaurant,Clothing Store,Badminton Court,College Lab,,,
Salad Place,Dim Sum Restaurant,Bank,Pilates Studio,Indie Theater,,,
Juice Bar,New American Restaurant,Beer Store,Martial Arts Dojo,College Quad,,,
Tea Room,Latin American Restaurant,Auto Dealership,Pool Hall,Library,,,
Cocktail Bar,Modern European Restaurant,Boutique,Arcade,Arts & Entertainment,,,
Bagel Shop,American Restaurant,Cheese Shop,,Amphitheater,,,
Smoothie Shop,Asian Restaurant,Paper / Office Supplies Store,,,,,
Bistro,Falafel Restaurant,Women's Store,,,,,
Sports Bar,Steakhouse,Arts & Crafts Store,,,,,
Cupcake Shop,Molecular Gastronomy Restaurant,Hotel,,,,,
Frozen Yogurt Shop,Israeli Restaurant,Fireworks Store,,,,,
Jazz Club,Belgian Restaurant,Supplement Shop,,,,,
Hotel Bar,Comfort Food Restaurant,Hobby Shop,,,,,
Comedy Club,Tapas Restaurant,Bike Shop,,,,,
Speakeasy,Hawaiian Restaurant,Hardware Store,,,,,
Food Court,South American Restaurant,Rental Car Location,,,,,
Noodle House,Jewish Restaurant,Miscellaneous Shop,,,,,
Gourmet Shop,Eastern European Restaurant,Construction & Landscaping,,,,,
Donut Shop,Hakka Restaurant,Carpet Store,,,,,
Wine Bar,Wings Joint,Mobile Phone Shop,,,,,
Irish Pub,Afghan Restaurant,Video Game Store,,,,,
Whisky Bar,Turkish Restaurant,Fruit & Vegetable Store,,,,,
Poutine Place,Brazilian Restaurant,Video Store,,,,,
Soup Place,Southern / Soul Food Restaurant,Office,,,,,
Beach Bar,Cuban Restaurant,Department Store,,,,,
Food,Malay Restaurant,Comic Shop,,,,,
Snack Place,Mac & Cheese Joint,Smoke Shop,,,,,
Hookah Bar,Dumpling Restaurant,Gift Shop,,,,,
Hot Dog Joint,Churrascaria,Adult Boutique,,,,,
Dive Bar,Tibetan Restaurant,Jewelry Store,,,,,
Rock Club,Pakistani Restaurant,Salon / Barbershop,,,,,
Pide Place,Indian Chinese Restaurant,Design Studio,,,,,
Sports Club,Empanada Restaurant,Health Food Store,,,,,
Gaming Cafe,Cajun / Creole Restaurant,Bridal Shop,,,,,
Sake Bar,Indonesian Restaurant,Hostel,,,,,
Pie Shop,Buffet,Fish Market,,,,,
,African Restaurant,Optical Shop,,,,,
,Sri Lankan Restaurant,Toy / Game Store,,,,,
,Cantonese Restaurant,IT Services,,,,,
,Shanghai Restaurant,Nail Salon,,,,,
,Filipino Restaurant,Business Service,,,,,
,Hong Kong Restaurant,Kids Store,,,,,
,Doner Restaurant,Tailor Shop,,,,,
,Moroccan Restaurant,Market,,,,,
,Taiwanese Restaurant,Warehouse Store,,,,,
,Hotpot Restaurant,Camera Store,,,,,
,,Other Repair Shop,,,,,
,,Flower Shop,,,,,
,,Candy Store,,,,,
,,Massage Studio,,,,,
,,Wine Shop,,,,,
,,Thrift / Vintage Store,,,,,
,,Chiropractor,,,,,
,,Moving Target,,,,,
,,Butcher,,,,,
