BAR_CLUB,RESTAURANT,SERVICES,LEISURE_SPORTS,CULTURAL_SCHOOLS,PARKS_NATURE_RURAL,TRANSPORT_INFRASTRUCTURE,RESIDENTIAL
Street Food Gathering,Argentinian Restaurant,Print Shop,Basketball Court,Movie Theater,Park,Bus Station,Residential Building (Apartment / Condo)
Rock Club,Israeli Restaurant,Big Box Store,Gym / Fitness Center,Public Art,Trail,Harbor / Marina,Neighborhood
Gay Bar,Colombian Restaurant,Shop & Service,Gym,Art Gallery,Garden,Bus Line,Indoor Play Area
Poke Place,Burmese Restaurant,Tourist Information Center,Bowling Alley,Historic Site,Plaza,Gas Station,Playground
Adult Boutique,Czech Restaurant,Entertainment Service,Yoga Studio,Performing Arts Venue,Scenic Lookout,Train Station,Building
Comedy Club,Persian Restaurant,Hostel,Track,Music Venue,River,Intersection,Community Center
Pet Café,Soba Restaurant,Library,Tennis Stadium,History Museum,Lake,Metro Station,
Strip Club,Ukrainian Restaurant,Drugstore,Athletics & Sports,Theater,Botanical Garden,Boat or Ferry,
Souvlaki Shop,Molecular Gastronomy Restaurant,Kitchen Supply Store,College Stadium,Art Museum,State / Provincial Park,Bus Stop,
Smoothie Shop,Brazilian Restaurant,Camera Store,Arcade,Dance Studio,Zoo,Bridge,
Food Service,Indonesian Restaurant,Office,Baseball Field,Indie Theater,Zoo Exhibit,Platform,
Club House,Portuguese Restaurant,Government Building,Golf Course,Music Store,Theme Park Ride / Attraction,Tunnel,
Social Club,Egyptian Restaurant,Tech Startup,Spa,Arts & Crafts Store,Theme Park,Airport Tram,
Piano Bar,Himalayan Restaurant,Doctor's Office,Pool,Photography Studio,Sculpture Garden,Travel & Transport,
Hotel Bar,Tex-Mex Restaurant,Car Wash,Skate Park,Record Shop,Other Great Outdoors,Toll Plaza,
Cafeteria,Modern Greek Restaurant,Perfume Shop,Tennis Court,Recording Studio,Beach,Bike Rental / Bike Share,
Bistro,Sri Lankan Restaurant,Souvenir Shop,Baseball Stadium,Exhibit,Aquarium,Bike Trail,
Irish Pub,Udon Restaurant,Shopping Plaza,Soccer Field,Jazz Club,Outdoors & Recreation,Pier,
Sake Bar,Cambodian Restaurant,Chocolate Shop,Track Stadium,Museum,Garden Center,Cruise,
Roof Deck,Hawaiian Restaurant,Rental Service,Dog Run,Concert Hall,Farm,Road,
Sports Club,Moroccan Restaurant,Board Shop,Hockey Rink,Event Space,Field,Stables,
Hot Dog Joint,Japanese Curry Restaurant,Tailor Shop,Pool Hall,Indie Movie Theater,Fountain,Lighthouse,
Taco Place,Venezuelan Restaurant,Locksmith,Volleyball Court,Church,Waterfront,Tram Station,
